id,min,eng
25510,"Wakatu tu ka siko pasan nasi goreng jo kantang koreng, nasi gorengnyo sadolah suko. Kantang gorengnyo lamak bana, dan presentasinyo rancak. Kecek keluarga kopinyo lamak. Hal nan sangat rancak disiko adalah tampeknyo lueh dan yang di lua bisa caliak pemandangan dusun bambu, tapi pelayanannyo indak capek sehinggo wak harus batanyo beberapa kali tentang pasanan wak. Haragonyo cukuik maha, tapi karano makanannyo lamak sadolahnyo jadi tabayialah. Indak paralu pikia duo kali kok nio ka tampek ko liak.","One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out."
25511,"Nasi goreng thailand di hargo 35 ribu, polos, hanyo ado suir ayam saketek. Seafoodnyo indak ado.","The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood."
25512,"Saroman yang wak tau, brownies nan asli dari amerika tu kue bantat yang memang bawarna cokelat. Toko amanda mengkreasian brownies jo mamasaknyo sacaro mangukuih. Brownies kukuih ko samo sakali ndak masuak. Teksturnyo malah samo jo bolu biaso. Jadi manuruik wak, iko ndak brownies.","As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies."
25513,"Jikok tibo ka restoran ko sangaik cocok pas sore dan malam ari, mambaok pasangan untuak manikmati makan malam nan romantis dan pamandangan nan sangaik manakjubkan","If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery."
25514,"Pangalaman patamo cukuik mangesanan dek cukuik takajuik ruponyo siap salasai mamasan makanan, salah ciek staf maagiah daun pisang ka meja awak bukan piriang atau sendok, jadi jiko makan di siko basiaplah untuak makan pakai tangan dek awak ka marasoan sensasi nan unik ditambah aleh makanannyo daun pisang.","The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands "
25515,Salah satu area kuliner yang cukuik manggugah salero. Namun jadi binguang juo miliahnyo. Akhianyo wak cubo karak talua dan mie kocok sambia mandangaan patunjukkan musik jo lagu-lagu nostalgia barat. Cukuik direkomendasian.,"One of the most delicious culinary areas around. However, that just makes it hard to choose what to eat. In the end, I got myself a kerak telor and mie kocok while waiting for the music show with nostalgic western songs. Pretty recommended"
25516,Untuak mamastian ibu bisa tibo ka kantua cab bank mandiri tu pas hari dan jam karajo untuak panukaran pitih.,"To clarify, you may come to the corresponding branch office of Mandiri Bank during working hours in workdays to make a cash exchange."
25517,"Naiak kareta jayabaya malang - jakarta baranti di gubeng, tiker 35 ribu plus asuransi 6 ribu via traveloka","Rode on the Jayabaya train from Malang to Jakarta, stopped in Gubeng, the ticket costed 35 thousand plus 6k insurance via Traveloka."
25518,Dpr maagiah apresiasi dek ikuiksarato padusi pado pilkada 2018.,DPR shows appreciation towards women's participation in the 2018 Regional Elections
25519,"Awak tibo untuak makan malam jo kaluarga. Iko patamo kali awak tibo ka siko. Kondisi indak talampau rami. Untuak interior, agak kumuah manuruik wak. Adonyo rimah-rimah bakeh makanan di lantai dan meja, bantuaknyo indak dibarasiahan sacaro sampurna. Untuak raso makanan, standar, indak terlalu istimewa.","I came to have dinner with my fam. It was our first time coming here. It wasn't too crowded. For the interior. it was rather filthy in my opinion. There were leftover morsles on the floor and table, seemed like it wasn't cleaned properly. For the food flavour, it was standard. Nothing to write home about."
25520,"Tolong kecekan ka anggota dewan jan lupo revisi perppu ormans dan ingekan janjinyo kalau perppu indak direvisi, babagai elemen masyarakat akan mangaluaan sikap.","Please remind the council not to forget revising the Perppu for Mass Organisations and if they don't revise it, then several factions from the public will not take this lying down."
25521,Karipiak singkong itu makanan ringan paliang lamak dan pas untuak mangawanan waktu tugas,Cassava chips are the most delicious and appropriate snack to accompany me during assignment time.
25522,"Batagor jo siomay kingsley ko ndak punyo cabang di tampek lain. Makanannyo lamak, tarutamo batagor dan siomay sarato basonyo dan ndak pakai pengawet. Dan seandainyo untuak oleh-oleh ado paket yang bisa dibaok pulang. Dipertahanan lo kualitasnyo.","Batagor and Siomay Kingsley doesn't have any branches outside this one. The food's great, especially the batagor and siomay as well as the baso, also none of them contain any preservatives. And if you're looking for a gift, there's a package you can take home. Keep the good quality going.  "
25523,"Jan pernah pasan malalui layanan ko yo kawan-kawan. Mangacewaan! Villa-nyo kumuah, sadoalah paralatannyo ndak layak pakai","Never order from this service, my friends. Utterly disappointing! The villa was dirty, and all the appliances were unusable"
25524,"Pendaftaran mulai bisuak, kementerian kominfo buka beasiswa palatiahan digital untuak 1.000 urang","Registrations starts tomorrow, Ministry of Communication and Informatics offers Digital Training Scholarships for 1000 people. "
25525,"Sabagai netijen nan baru april patang piknik ka toba, cuma nio ngecek bahwa bana banyak hal nan mangecewaan dari sistem pariwisata di sinan. Parapat -nyo kumuah, payah cari akomodasi nan bana-bana ancak, agen transportasi ndak profesional, pokoknyo ndak direkomendasian pai ka parapat.","As a netizen who went on a picnic to Toba just last April, I just wanna say that there are indeed a lot of disappointments coming from the tourism system there. Parapat was dirty, it was hard to find actually good accomodations, the transport agents were unprofessional, just don't bother, Parapat is not recommended at all."
25526,Kumuah bana dan indak di hirauan dek pelayan restoran. Mangcewaan bana palayanannyo!,The place was so dirty and I was ignored by the servers. The service was so disappointing
25527,"Tampeknyo manuruik awak biaso se, kurang barasiah. Makanannyo pun biaso se.","The place is mediocre for me. Not that clean, the food is also nothing special."
25528,"Untuak usaho nan dikaluaan ka tampek ko hasilnyo biaso-biaso se. Nan mangacewaan adalah kualiteh makanannyo. Makanan hanyo sakadar masak se. Untuak kuliner bandung nan lamak-lamak, iko mangacewaan. Ado karcis masuak per urang 10.000 dan oto 15.000.","For the effort it took to get to this place, the payoff was so-so. The disappointing part was the food quality. It was the barest minimum effort for making a meal. For the high standard of Bandung culinary, this was a letdown. Not to mention there was an entry ticket, 10.000 per person and 15.000 for cars"
25529,Awak sakaluarga sadang mancari tampek makan sudah nonton. Kami bosan makan di resto / kafe di mal. Tibo-tibo nampak resto di kanan jalan. Alah lamo kami indak makan kari. Singgahlah kami ka resto nan tagolong ketek hanyo 9 meja. Kironyo lamak tampek dan makanannyo.,"My family and I were looking for a place to eat after watching a movie. We were bored with eating in restaurant / cafe in the mall. Suddenly we saw a restaurant on the right side of the street. We hadn't eaten curry in a long time. We stopped by a considerably small resto, with only 9 tables. Turns put the place was comfortable and the food was delicious."
25530,Kopi starbucks baa bisa lamak bana sih,How can the Starbucks coffee taste this good
25531,"Keceknyo di sinan ka dibangun transmart, di sabalah bangunan itu.","I heard they'll build a Transmart there, next to that building"
25532,"Sungguah pangalaman unik, makan di tangah sawah di antaro padi nan ampiang manguniang, Dengan piliahan menu nan baragam, panyajian nan menarik dan manggugah salero.","Truly a unique experience, eating in the middle of the ricefields among the yellowing rice. With a variety of menu choices, the presentation is interesting and appetising."
25533,"Makan basamo jo para sistah babarapa waktu nan lalu, tampek nyaman, lamak untuak maota, pelayanan rancak. Lah acok makan di siko.","Dined togetha with da sistahs a lil' bit ago, cosy place, nice to hang out, good service. Have gone ta this place multiple times."
25534,"Tampek oleh-olehnyo langkok dan cukuik nyaman, mudah dijangkau, haragonyo tajangkau, dah tu pelayanannyo ramah.","The souvenir shop has pretty much everything and is pretty comfortable, the goods are easy to reach, affordable, and it has great service."
25535,"Hai eviana, mohon maaf atas kaindaknyamanannyo. Untuak kontak dari indosat dapek maakses tautan iko: Silakan pengecekan yo. Tarimo kasih. Erf","Hi Eviana, we are sorry for the inconvenience. You can contact Indosat by clicking the following link. We implore you to check it out. Thank you. Erf."
25536,Menunyo indomie jo roti baka. Untuak tampek samo jo cabang nan lainnyo nyaman untuak kumpua.,The menu's Indomie and toasts. The place is just the same as the other branches: comfortable for hanging out.
25537,"Sambal jo daun serawung, tomat, jo lado kutu. Raso sambal ko yang mambuek kota garut yang namonyo cibiuk jadi tanamo. Sambal ko bisa dinikmati jo gurame goreang ataupun jo ayam goreang. Rasonyo sabana lamak. Salain di lengkong cibiuk punyo lo banyak cabang.","Sambal with basil leaves, tomato and cayenne pepper. The flavour of this Sambal made the city called Cibiuk in Garut famous. fried gourami or with fried chicken. It tastes absolutely divine. Aside from Lengkong Cibiuk, they also have many other branches."
25538,Awak alah konfirmasi ka pihak gramedia tapi dilempa-lempa ndak ado panjalehan. Pihak gramed sampai spv di outlet tu saliang malempa dan mengecekan ndak ado promo. Kecewa dilempa-lempa modetu,"""...Gramed's staff passed me..."""
25539,"Salamaik siang, jikok ado hal lain nan ka apak tanyoan bisa mention kami baliak. Tarimo kasih zan.","Good afternoon. If there's anything you'd like to ask, just mention us again. Thank you, Zan"
25540,"Manuruik kami tampek ko biaso se ndak ado atraksi atau pamandangan nan manarik jo harago tiket 10000 / urang, kalau pamandangan gunuang yo emang alah saharusnyo dek talatak di daerah tinggi. Untuak wisata kuliner juo ndak talampau banyak piliahan bantuak tampek nan ciek lai.","We think this place is ordinary, no fun attractions or views for a 10.000 / person ticket. Well duh, the view of the mountains is a no-brainer for highland locations like this. The culinary side doesn't offer much options compared to the other place."
25541,"Awak alah manjadi palanggan madtari sajak tahun 2002, pas itu masih bantuak lapau tenda ketek nan sangaik rami malam hari. Babarapo tahun patang manampekan bangunan nan parmanen, sajak itu awak maraso kualitasnyo agak manurun dibandiangan jo pas di lapau tenda. Nan jaleh, harago naiak cukuik signifikan, dibandiangan lapau saroman, mungkin labiah maha.","I've been a Madtari regular since 2002. At the time this place was just a small tent that overflowed with customers at night. A few years ago, after they moved to a permanent building, I thought that was when the quality dropped slightly compared to the tent days. One thing's for sure, the price went up significantly, even more expensive when compared to similar stalls."
25542,"Komentar partamo lah pasti venue yang kece, palayanan ramah bana, dan untuak menu yang dipiliah adolah ikan baka dan sop buntuiknyo yang wak agiah nilai 4 tapi untuak es buah tu wak agiah nilai 5 yo!","First comment is that the venue is a banger, very nice service, and as for the chosen menu, it has to be the grilled fish and oxtail soup that I'd give a 4 for but for that iced fruit cocktail, I'd give a 5, yes!"
25543,"Di restoran ko makanan yang disadioan banyak bana dan harago cukuik tajangkau, suasana yang lamak dan nyaman","Terjemahan di sheet Translation sudah benar, tapi di sheet ini tidak lengkap"
25544,Den iri mancaliak kalian yang bisa basobok kabahagiaan.,I'm jealous of how you guys can find happiness
25545,Siap bali pulsa nio daftar paket internet gagal taruih tu disuruah mengulang taruih di 363 dan tetap ndak bisa,After topping up my balance I wanna buy some internet package but it just keeps failing and tells me to try again in 363 and it still doesn't work.
25546,"Tampeknyo sangaik rancak apo lai malam hari dihieh jo lampu-lampu, sangaik romantis. Cocok untuak pasangan. Jauah dari karamaian. Udaronyo sangaik dingin. Wak dapek maliek kaindahan kota dari ateh.","The place is beautiful, especially at night with its decorative lights, so romantic. Perfect for couples. It's also far from the crowd. The air is so breezy, and we can see the town's beauty from above."
25547,"Makanannyo lamak lamak dan eye catching untuak di foto, suko. Tapi minumannyo lamak juo dan tampeknyo nyaman untuak kumpual-kumpua jo kawan.","The food is great and eye-catching for pics, love 'em. Oh, but the drinks are also good and the place is super comfy for hanging out with friends."
25548,"Iko kali kaduo kunjuangan awak. Sado makanan nan awak cubo lamak-lamak, dan tampeknyo masih sagagah dulu. Ndak pernah manyasa makan di siko.","This is my second visit. Every food I tasted was great, and the place is just as charming as I remember it back then. I've never had any regrets dining here."
25549,"Makanannyo smoked chicken dan cheese sandwich, minumannyo jus. Lumayan pas dan lamak. Tampeknyo memang lamak untuak nan nio suasana haniang santai jauah dari hiruak.","The food are smoked chicken and cheese sandwich, while the drinks are juices. Tastes pretty good. The place is nice for those looking for peace and quiet away from noise."
25550,Ubek ndak baresep sarancaknyo diindari ibu manyusui,Medicines without a doctor's prescription are best avoided by nursing mothers.
25551,"Samakin banyak tahu, samakin cemburu.","The more you know, the more jealous you get"
25552,Karyawan maleh untuak apo diagiah cuti. Bisnis sadang buruak malah nio foya foya. Mikia lah!,"Why should we give a paid leave to a lazy employee? Business is doing bad, and they wanna waste money? Think!"
25553,"Tampek nan badampiangan jo aia sungai dan rimbunnyo pohon-pohon dan makanan nan lamak mambuek betah dan cocok untuak baistirahat, berbagai jajanan tasadio pulo di tampek ko, hawanyo sajuak pulo.","This place, next to the flowing river and lush forest, with delicious food really makes me feel at home and perfect for resting. Many snacks are also availabel here, and the weather is cool."
25554,"Tolong yo minimal, demi kamudahan nasabah supayo di dalam stasiun tigaraksa diagiah masin atm bni","Please, at the very least, I beg you, for the convinence of the customers, put a BNI ATM machine in Tigaraksa station."
25555,"Kupat tahu gempol marupoan salah ciek kupat tahu legendaris. Tampeknyo ndak talampau gadang tapi cukuik mancolok jo warna merahnyo di partigoan pasa gempol. Porsinyo pas bana untuak mahilangan lapa. Ciri khas dari kupat tahu ko adolah tahunyo yang lembut jo kenyal samo kuah kacangnyo pas di lidah, dipadu jo lontong, tauge jo karupuak merah. Lamak bana.","Kupat Tahu Gempol is one of the legendary Kupat Tahu restos. The place isn't that large but its red color is pretty eye-catching near the three-way junction at Pasar Gempol. The portion is just right to satisfy your hunger. The defining characteristics of this kupat tahu are their soft and chewy tofu as well as their creamy peanut sauce, which go really well with lontong, bean sprouts, and red crisps. Absolutely delicious"
25556,Wah samo bantuak wak ko da sabanta kom paket freedom I wak alun abih tapi lah dibabanan tarif internet paralu sampai pulsa sakitar 40 ribu wak disedot maliang,"Oh I just had that too, man. My Freedom I package hasn't run out yet but I've been charged with internet fees. I need around 40 thousand credits to pay for that. What a robbery"
25557,Rumah makan ko memang tagolong murah bilo dibandiangan jo rumah makan sajenisnyo. Namun makanan yang disadioan biaso se ndak ado yang istimewa. Sebagian gadang makanannyo hanyo ikan atau ayam jo caro masak digoreng. Bisa dikecekan menu makanannyo ndak ado variasi samo sakali.,"This place is indeed inexpensive when compared to similar restos. But the food they serve is so-so and has nothing special about them. Most of the menus are just deep-fried fish or chickens. In other words, absolutely no food variations."
25558,"Kamar mandi jauah dari layak, untuak cuci tangan indak disadioan sabun.","The bathroom is far from decent, no hand soap provided for washing hands."
25559,"Suasananyo cocok untuak sado urang, baiak sanak nan nio surang, basamo kaluarga, maupun jo kawan-kawan dakek batuka carito","The atmosphere is great for everyone, whether you're alone, with family, or sharing stories with close friends."
25560,Bakso favorit kami sakaluarga. Rasonyo gurih dan super lamak. Dikawani jo es jeruk dan karupuak putiah. Super yummy lah. Hargo sangaik tajangkau. Lokasi masuak gang ketek tapi mudah ditamuan dek banyak urang yang tau di lokasinyo.,"Our family's favorite bakso. It's so flavourful and delicious. Coupled with iced orange juice and white crisps,. Super yummy stuff! Price is really affordable.The location is kinda in an alleyway but it's easy to spot because a lot of people know about the place."
25561,"Indak lamak makan di restoran, indak bisa mintak kuah opor ayam setek co di warteg.","Eating in a resto is no fun, you can't ask for a little opor ayam broth like in a warteg"
25562,Maningkeknyo presentase paminat ride sharing membuaek toyota nekad maabihan dana sampai $1 miliar ka grab untuak manyalamaikan bisnis otomotifnyo.,The increasing percentage of ride sharing customers forces Toyota to boldly spend up to $1 billion to Grab in order to save its automotive business
25563,"Pamandangan kota banduang nan indah dapek dicaliak dari sierra kafe lounge. Ado duo piliahan tampek, bisa dalam ruangan maupun di lua. Tampek nan romantis cocok untuak bapole dan cocok juo untuak kumpua samo kawan-kawan sambia malapeh panek, dek udaranyo sajuak dan manyagaran. Makanan yang disadioan lezat lo dan banyak piliahan. Ado makasan indonesia, asia, bahkan eropa.","The wonderful scenery of Bandung can be witnessed from Sierra Cafe Lounge. There are two options for locations, indoors and outdoors. A romantic site fit for couples and also to hang out with friends while we unwind, since the air is also cool and fresh. The food served is also delectable with varying choices. There's Indonesian culinary, Asian, and even European/Western dishes."
25564,Rumah tu punyo paga gadang warna itam.,That house has a tall black fence
25565,"Restoran unik, di ma indak disadioan piriang, untuak makan manggunoan aleh daun pisang. Makanan cukuik lamak.","A unique restaurant, where you use sheets of banana leaves instead of plates. The food is pretty good"
25566,Ayak awak seorang pegawai net tv,My dad is an employee in net.TV
25567,Indomie banyak disobokan di kadai-kadai tadakek.,Indomie is often found in the nearest roadside stalls.
25568,Sulik bana mangarati urang nan maraso bana se taruih,It's so hard to understand people who think they're always right
25569,Mimpi disuruah mancari coklat samo gordon ramsay eh malah tacampua jo kuah indomie,"I was asked to find chocolate by Gordon Ramsay in a dream, but it got mixed with an Indomie broth. "
25570,"Iyo sih mi sedap isinyo labiah banyak, tapi soal raso kalah jauah samo yang lain","Yeah sure, Mi Sedap has more portion, but when it comes to taste, the others are just far better in comparison."
25571,"Wah lamak bana, sate yang lamak bumbu yang pas, raso yang pas dan dagiang yang segar, sahinggo mahasilan sate yang sabana bana mantap. Palayanan yang ramah.","Wow the satay is amazing. Right spices, right seasonings, and fresh meat, all combined to make a damn good satay. The servers are also friendly."
25572,Waktu datang ka siko sadang ndak musim stroberi jadi bi ketek-ketek dan ndak rancak. Jadi cuma ambiak saadonyo se. __sad__.,"When I came here, it wasn't strawberry season so they were tiny and bad. So I just took whatever's given. __sad__."
25573,"Paresmian pengoperasian kareta api bandara oleh presiden ri jo simbolis, panekanan tombol sirine nan manyuarokan genta, didampiangan jo menteri perhubungan, menteri bumn, gubernur banten, dirjen pakaretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink","The inauguration of the airport train by the President of Indonesia is done symbolically by pushing a siren button that sounds the bell, accompanied by Minister of Transportation, Minister Of State-Owned Enterprises, Governor of Banten, Director General of Railway from the Ministry of Transportation, Director of AP2, Director of PT KAN, and the Director of Railink"
25574,Masakan restoran ko rato-rato ndak lamak.,Most of the food in this restaurant aren't good
25575,"Cocok untuak makan malam romantis jo pasangan katiko marayoan momen baduo, makanannyo lamak dan bakelas.","Perfect for a romantic dinner with your partner in sharing a moment together, the food is also delicious and classy"
25576,"Batagornyo lamak, mi nyo lamak. Ado aneka makanan nan bisa dicubo di ciek tampek, apolai kini tokonyo alah direnovasi jadi rancak. Ado musala. Area oleh-oleh banyak piliahan.","The Batagor's good, the noodle's great. Lots of food to choose from in just one place, especially since the shop's been renovated for the better. There's a musala. Lots of variety in the souvenir area, too."
25577,"Baru pakai bara hari langsuang hang, power bank indak bisa di pakai apo-apo. Harus baok ka tampek servis.","Just used it for a few days and it's already hanging, the power bank can't do a thing. Have to be taken into service"
25578,"Restoran nan punyo pamandangan nan ancak, kok ka siko pado malam hari carilah tampek duduak di lua ruangan, mako kalian ka mancaliak disatiok meja lampu nan iduik, makanan nan kami pasan tu sup krim dan coklat hangek sangaiklah lamak dan lezat pas jo cuacanyo nan dingin","A restaurant with amazing view, if you're here at night, try to find an outdoor spot and you'll see that every single table has shining lights on them. The food we ordered were cream soup and hot chocolate drink, very delicious and perfect during with the cold weather."
25579,Tampeknyo sangaik romantis dan nyaman. Jo suasana yang sabana nyaman dan palayanan yang ancak. Makanan sabana lamak jo harago yang reasonable. Sabana nio baliak ka siko menikmati suasana sorenyo. Sacaro kasaluruahan elok sabana rancak!,"Location's very romantic and snug. The atmosphere is very cosy and the service is great. The food is very appetising with a reasonable price. Would love to come back and enjoy its afternoon mood. Overall it's lovely, very wonderful! "
25580,"Makanan court jo banyak panyewa, banyak pilihan. Cocok untuak anak mudo yang nio nongkrong bakalompok sambia makan - minum sasuai salero masiang-masiang. Parkir sangaik lueh.",Food court wth a lot of tenants and a lot of options. Fitting for young people who wanna hangout and eat lots of food and drinks tailored for each of their tastes. The parking lot is also huge. 
25581,"Tarimo kasih bang atas apresiasinyo. Samoga beliau segera manemui wakil kami, korban phk sapihak freeport.","Thank you for the appreciation, brother. We hope he'll be able to meet our representative for the victims of Freeport's work termination soon."
25582,"Hampia labiah 5 kali awak ka siko. Dim sumnyo yahud dan haragonyo tajangkau bana. Tampeknyo asyik jo nyaman bana. Pelayanan ramah walaupun awak cuma baduo tu makan ndak lo banyak macamnyo. Pokoknyo rekomendasi bana, bilo mancari dim sum atau shabu di balikpapan.",I've come here more or less over 5 times already. The dim sum tastes amazing while also being really affordable. The place is fun and comfortable. The waiters are friendly even though there're only two of us and we don't order much. Highly recommended if you wanna eat dim seum or shabu in Balikpapan
25583,"Tampeknyo manyanangan, santai, jo sangaik mudah ditamui, dek basabalahan jo swalayan lotte mart","The place is fun, relaxing, and easy to spot, since it is right beside a Lotte Mart supermarket."
25584,KIPP manarimo banyak laporan takait adonyo palanggaran pas pilkada 2018.,KIPP received many reports of foul play in the 2018 Regional Elections
25585,"Alah beberapa kali ka siko, makan lumayan lamak, saung-saungnyo mambuek suasano makan dan basantai jadi nikmat lo, ditambah lo suaro sungai ketek manambah suasano jadi batambah alami. Dianjuaan tibo ka siko malam hari karano labiah rancak.","I've been here several times, the food is pretty delicious, the gazebos also makes the atmosphere cozy, especially with the sound of a small river, giving it a natural vibe. Recommended to come here at night because it's more beautiful."
25586,Manakan di siko sangaik lamak. Cocok untuak patamuan kantua atau basamo kaluarga gadang harago tajangkau,"Food here is amazing. Perfect for office meetings or dining with big family, affordable price too"
25587,DHL sadang mambuka lowongan karajo untuak customer service,DHL opens job positions for Customer Service
25588,Awak cubo nan di dakek kantua walikota. Awak pasan bakso malang super komplet. Rasonyo lamak. Kanyang. Harago juo masuak diaka.,I tried the one near the Mayor's office. I ordered the super complete Bakso Malang. It was great. Really filling. The price was also reasonable.
25589,"Tampek makan di lua nan lueh manyajian sagalo makanan dari tradisional hinggo nan modern, dari harago nan murah meriah hinggo nan maha. Panataan dekorasi nan apik ka mambuek betah.","Big outdoor resto, serving a huge variety of food from traditional all the way to the modern cuisine. The price varies just as much as the menu. The attractive decor layout makes the place really comfortable"
25590,Yang wajib bana dicubo di resto iko ado jus stroberi tanpa susu atau gulo. Asli lamak bana. Kayaknyo 1 galeh se kuranglah.,"The must-try of this resto is the strawberry juice without milk or sugar. Trust me, it's amazing. Just 1 glass isn't nearly enough"
25591,"Resto makanan barat jo harago kaki limo, ditambah pamandangan alam nan indah, suasana romanatis, asal jan hujan, karano di teras dibiaan tabukak. Resto favorit kaluarga wak.","Western style restaurant with street vendor price, with beautiful natural scenery and romantic atmosphere, provided that it's not raining because it's in open space. My family's favorite restaurant"
25592,"Ayam gorengnyo lamak di siko. Cocok untuak yang siap pajalanan jauah. Wak ka siko pulang dari lua kota, jadi makannyo pas litak gitu lah. Buek paruik kanyang, makanannyo lamak tu palayanannyo mantap. Kasirnyo rancak rancak","The fried chicken is amazing here. Perfect after a long trip. I came here after returning out of town, so I was absolutely starving. My stomach was filled right back up. The food was good and servers were great. Not to mention, the cashiers were beautiful"
25593,"Paket den sampai kini ndak sampai sampai lah 5 hari statusnyo jo pengiriman courier jakarta, parah kini jne","My package, too, to this moment has yet to arrive, the status has been stuck in the delivery of the Jakarta courier since 5 days ago, JnE is horrible now."
25594,"Jua ayam baka taliwang tapi ayam nan disajian bantuak karet ndak mamuehan, dan rasonyo hamba, sambanyo juo alakadarnyo. Dari kesadonyo sangaik mangacewaan dan awak ndak akan ka duo kalinyo ka sinan liak","You're selling Taliwang roasted chicken but the one I got was like rubber and not good at all, it was tasteless too, the sambal was just whatever. Overall, very disappointed and I won't be coming back for a second time."
25595,Jalan. Sukajadi kalau malam suko ado warga yang manyampak an sarok di tapi jalan! urang-urang yang mode tu harus dimusnahan,Some people like to litter on the side of Sukajadi Street at night. People like that should be obliterated.
25596,Paliang favorit di resto ko adolah bubua 3 raso. 1 mangkuak gadang bisa untuak baduo samo laki.  Tu banyak menunyo untuak tambahan makan jo bubua. Harago dan raso sasuai. Dan yang pasti kawan makan bubua adolah teh angek hmmm. Lamak!,"My favorite in this resto is the 3-flavor-porridge. 1 huge bowl is enough for me and my husband. There's also a lot more than just porridges on the menu. The price fits the taste. And of course, you can't have porridge without a warm cup of tea. Hmmmm, tasty!"
25597,Indosat adalah panyebab awak berang tiok ari,Indosat is why I am angry every day.
25598,Restoran iko marupokan tampek nan cocok untuak makan malam basamo pasangan dan kaluarga dengan makanan nan cukuik lamak dan pamandangan nan rancak. Suasanonyo pun elok jo hiasan klasik dari suduik sampai pintu masuaknyo.,"This restaurant is perfect for dinner with your partner or family, with decent food and wonderful view. The mood's also great thanks to the classic decor adorning the corner all the way to the entrance."
25599,"Konsep restorannyo biaso se, tapi harago minumannyo maha bana. Dimurahanlah stek walaupun di tampek wisata hehe. Jadi mikia bakali-kali untuak mambali.","The resto's concept is nothing special, but why do the drinks cost that much? I know it's a tourist trap, but tone it down a little, hehe. Gotta think twice over and over again before buying."
25600,Susunyo segar jo sayuran nan mantap dan raso kuah nan lamak dan pelayanan nan sangaik super ramah.,"The milk is fresh with amazing vegetables and delicious soup flavour, complete with super nice service."
25601,"Manyasa den maagiah tau ang, Farrel","I regret ever telling ye anything, Farrel."
25602,"Kesal lah, mano parkir indak batua, buek jalanan sampik se lai, giliran otonyo gores maupek-upek manuduah sumbarang urang","So irritating, lousy parking, just blocking the street even more. And when their car gets scratched, they'll go around swearing and blaming other people."
25603,"Resto ko awak rekomendasian untuak sanak singgahi jiko sanak nio basantap sambia manikmati sunset. Karano lataknyo nan barado di dataran tinggi, sanak dapek manikmati kaindahan alam pagunuangan dan suasano kota. Untuak makanannyo sendiri ado babarapo cito raso, dari masakan daerah, indonesia hinggo internasional.","This resto is recommended for you if you wanna have a meal while admiring the sunset. Because it is located in the highlands, you can enjoy the beauty of the mountainsides and the city atmosphere. The menu itself comes in a variety of flavours, from local dishes, Indonesian cuisine, to international food."
