id,eng,min
25525,"As a netizen who went on a picnic to Toba just last April, I just wanna say that there are indeed a lot of disappointments coming from the tourism system there. Parapat was dirty, it was hard to find actually good accomodations, the transport agents were unprofessional, just don't bother, Parapat is not recommended at all.","Sabagai netijen nan baru april patang piknik ka toba, cuma nio ngecek bahwa bana banyak hal nan mangecewaan dari sistem pariwisata di sinan. Parapat -nyo kumuah, payah cari akomodasi nan bana-bana ancak, agen transportasi ndak profesional, pokoknyo ndak direkomendasian pai ka parapat."
25526,The place was so dirty and I was ignored by the servers. The service was so disappointing,Kumuah bana dan indak di hirauan dek pelayan restoran. Mangcewaan bana palayanannyo!
25527,"The place is mediocre for me. Not that clean, the food is also nothing special.","Tampeknyo manuruik awak biaso se, kurang barasiah. Makanannyo pun biaso se."
25528,"For the effort it took to get to this place, the payoff was so-so. The disappointing part was the food quality. It was the barest minimum effort for making a meal. For the high standard of Bandung culinary, this was a letdown. Not to mention there was an entry ticket, 10.000 per person and 15.000 for cars","Untuak usaho nan dikaluaan ka tampek ko hasilnyo biaso-biaso se. Nan mangacewaan adalah kualiteh makanannyo. Makanan hanyo sakadar masak se. Untuak kuliner bandung nan lamak-lamak, iko mangacewaan. Ado karcis masuak per urang 10.000 dan oto 15.000."
25529,"My family and I were looking for a place to eat after watching a movie. We were bored with eating in restaurant / cafe in the mall. Suddenly we saw a restaurant on the right side of the street. We hadn't eaten curry in a long time. We stopped by a considerably small resto, with only 9 tables. Turns put the place was comfortable and the food was delicious.",Awak sakaluarga sadang mancari tampek makan sudah nonton. Kami bosan makan di resto / kafe di mal. Tibo-tibo nampak resto di kanan jalan. Alah lamo kami indak makan kari. Singgahlah kami ka resto nan tagolong ketek hanyo 9 meja. Kironyo lamak tampek dan makanannyo.
25530,How can the Starbucks coffee taste this good,Kopi starbucks baa bisa lamak bana sih
25531,"I heard they'll build a Transmart there, next to that building","Keceknyo di sinan ka dibangun transmart, di sabalah bangunan itu."
25532,"Truly a unique experience, eating in the middle of the ricefields among the yellowing rice. With a variety of menu choices, the presentation is interesting and appetising.","Sungguah pangalaman unik, makan di tangah sawah di antaro padi nan ampiang manguniang, Dengan piliahan menu nan baragam, panyajian nan menarik dan manggugah salero."
25533,"Dined togetha with da sistahs a lil' bit ago, cosy place, nice to hang out, good service. Have gone ta this place multiple times.","Makan basamo jo para sistah babarapa waktu nan lalu, tampek nyaman, lamak untuak maota, pelayanan rancak. Lah acok makan di siko."
25534,"The souvenir shop has pretty much everything and is pretty comfortable, the goods are easy to reach, affordable, and it has great service.","Tampek oleh-olehnyo langkok dan cukuik nyaman, mudah dijangkau, haragonyo tajangkau, dah tu pelayanannyo ramah."
25535,"Hi Eviana, we are sorry for the inconvenience. You can contact Indosat by clicking the following link. We implore you to check it out. Thank you. Erf.","Hai eviana, mohon maaf atas kaindaknyamanannyo. Untuak kontak dari indosat dapek maakses tautan iko: Silakan pengecekan yo. Tarimo kasih. Erf"
25536,The menu's Indomie and toasts. The place is just the same as the other branches: comfortable for hanging out.,Menunyo indomie jo roti baka. Untuak tampek samo jo cabang nan lainnyo nyaman untuak kumpua.
25537,"Sambal with basil leaves, tomato and cayenne pepper. The flavour of this Sambal made the city called Cibiuk in Garut famous. fried gourami or with fried chicken. It tastes absolutely divine. Aside from Lengkong Cibiuk, they also have many other branches.","Sambal jo daun serawung, tomat, jo lado kutu. Raso sambal ko yang mambuek kota garut yang namonyo cibiuk jadi tanamo. Sambal ko bisa dinikmati jo gurame goreang ataupun jo ayam goreang. Rasonyo sabana lamak. Salain di lengkong cibiuk punyo lo banyak cabang."
25538,"""...Gramed's staff passed me...""",Awak alah konfirmasi ka pihak gramedia tapi dilempa-lempa ndak ado panjalehan. Pihak gramed sampai spv di outlet tu saliang malempa dan mengecekan ndak ado promo. Kecewa dilempa-lempa modetu
25539,"Good afternoon. If there's anything you'd like to ask, just mention us again. Thank you, Zan","Salamaik siang, jikok ado hal lain nan ka apak tanyoan bisa mention kami baliak. Tarimo kasih zan."
25540,"We think this place is ordinary, no fun attractions or views for a 10.000 / person ticket. Well duh, the view of the mountains is a no-brainer for highland locations like this. The culinary side doesn't offer much options compared to the other place.","Manuruik kami tampek ko biaso se ndak ado atraksi atau pamandangan nan manarik jo harago tiket 10000 / urang, kalau pamandangan gunuang yo emang alah saharusnyo dek talatak di daerah tinggi. Untuak wisata kuliner juo ndak talampau banyak piliahan bantuak tampek nan ciek lai."
25541,"I've been a Madtari regular since 2002. At the time this place was just a small tent that overflowed with customers at night. A few years ago, after they moved to a permanent building, I thought that was when the quality dropped slightly compared to the tent days. One thing's for sure, the price went up significantly, even more expensive when compared to similar stalls.","Awak alah manjadi palanggan madtari sajak tahun 2002, pas itu masih bantuak lapau tenda ketek nan sangaik rami malam hari. Babarapo tahun patang manampekan bangunan nan parmanen, sajak itu awak maraso kualitasnyo agak manurun dibandiangan jo pas di lapau tenda. Nan jaleh, harago naiak cukuik signifikan, dibandiangan lapau saroman, mungkin labiah maha."
25542,"First comment is that the venue is a banger, very nice service, and as for the chosen menu, it has to be the grilled fish and oxtail soup that I'd give a 4 for but for that iced fruit cocktail, I'd give a 5, yes!","Komentar partamo lah pasti venue yang kece, palayanan ramah bana, dan untuak menu yang dipiliah adolah ikan baka dan sop buntuiknyo yang wak agiah nilai 4 tapi untuak es buah tu wak agiah nilai 5 yo!"
25543,"Terjemahan di sheet Translation sudah benar, tapi di sheet ini tidak lengkap","Di restoran ko makanan yang disadioan banyak bana dan harago cukuik tajangkau, suasana yang lamak dan nyaman"
25544,I'm jealous of how you guys can find happiness,Den iri mancaliak kalian yang bisa basobok kabahagiaan.
25545,After topping up my balance I wanna buy some internet package but it just keeps failing and tells me to try again in 363 and it still doesn't work.,Siap bali pulsa nio daftar paket internet gagal taruih tu disuruah mengulang taruih di 363 dan tetap ndak bisa
25546,"The place is beautiful, especially at night with its decorative lights, so romantic. Perfect for couples. It's also far from the crowd. The air is so breezy, and we can see the town's beauty from above.","Tampeknyo sangaik rancak apo lai malam hari dihieh jo lampu-lampu, sangaik romantis. Cocok untuak pasangan. Jauah dari karamaian. Udaronyo sangaik dingin. Wak dapek maliek kaindahan kota dari ateh."
25547,"The food is great and eye-catching for pics, love 'em. Oh, but the drinks are also good and the place is super comfy for hanging out with friends.","Makanannyo lamak lamak dan eye catching untuak di foto, suko. Tapi minumannyo lamak juo dan tampeknyo nyaman untuak kumpual-kumpua jo kawan."
25548,"This is my second visit. Every food I tasted was great, and the place is just as charming as I remember it back then. I've never had any regrets dining here.","Iko kali kaduo kunjuangan awak. Sado makanan nan awak cubo lamak-lamak, dan tampeknyo masih sagagah dulu. Ndak pernah manyasa makan di siko."
25549,"The food are smoked chicken and cheese sandwich, while the drinks are juices. Tastes pretty good. The place is nice for those looking for peace and quiet away from noise.","Makanannyo smoked chicken dan cheese sandwich, minumannyo jus. Lumayan pas dan lamak. Tampeknyo memang lamak untuak nan nio suasana haniang santai jauah dari hiruak."
25550,Medicines without a doctor's prescription are best avoided by nursing mothers.,Ubek ndak baresep sarancaknyo diindari ibu manyusui
25551,"The more you know, the more jealous you get","Samakin banyak tahu, samakin cemburu."
25552,"Why should we give a paid leave to a lazy employee? Business is doing bad, and they wanna waste money? Think!",Karyawan maleh untuak apo diagiah cuti. Bisnis sadang buruak malah nio foya foya. Mikia lah!
25553,"This place, next to the flowing river and lush forest, with delicious food really makes me feel at home and perfect for resting. Many snacks are also availabel here, and the weather is cool.","Tampek nan badampiangan jo aia sungai dan rimbunnyo pohon-pohon dan makanan nan lamak mambuek betah dan cocok untuak baistirahat, berbagai jajanan tasadio pulo di tampek ko, hawanyo sajuak pulo."
25554,"Please, at the very least, I beg you, for the convinence of the customers, put a BNI ATM machine in Tigaraksa station.","Tolong yo minimal, demi kamudahan nasabah supayo di dalam stasiun tigaraksa diagiah masin atm bni"
25555,"Kupat Tahu Gempol is one of the legendary Kupat Tahu restos. The place isn't that large but its red color is pretty eye-catching near the three-way junction at Pasar Gempol. The portion is just right to satisfy your hunger. The defining characteristics of this kupat tahu are their soft and chewy tofu as well as their creamy peanut sauce, which go really well with lontong, bean sprouts, and red crisps. Absolutely delicious","Kupat tahu gempol marupoan salah ciek kupat tahu legendaris. Tampeknyo ndak talampau gadang tapi cukuik mancolok jo warna merahnyo di partigoan pasa gempol. Porsinyo pas bana untuak mahilangan lapa. Ciri khas dari kupat tahu ko adolah tahunyo yang lembut jo kenyal samo kuah kacangnyo pas di lidah, dipadu jo lontong, tauge jo karupuak merah. Lamak bana."
25556,"Oh I just had that too, man. My Freedom I package hasn't run out yet but I've been charged with internet fees. I need around 40 thousand credits to pay for that. What a robbery",Wah samo bantuak wak ko da sabanta kom paket freedom I wak alun abih tapi lah dibabanan tarif internet paralu sampai pulsa sakitar 40 ribu wak disedot maliang
25557,"This place is indeed inexpensive when compared to similar restos. But the food they serve is so-so and has nothing special about them. Most of the menus are just deep-fried fish or chickens. In other words, absolutely no food variations.",Rumah makan ko memang tagolong murah bilo dibandiangan jo rumah makan sajenisnyo. Namun makanan yang disadioan biaso se ndak ado yang istimewa. Sebagian gadang makanannyo hanyo ikan atau ayam jo caro masak digoreng. Bisa dikecekan menu makanannyo ndak ado variasi samo sakali.
25558,"The bathroom is far from decent, no hand soap provided for washing hands.","Kamar mandi jauah dari layak, untuak cuci tangan indak disadioan sabun."
25559,"The atmosphere is great for everyone, whether you're alone, with family, or sharing stories with close friends.","Suasananyo cocok untuak sado urang, baiak sanak nan nio surang, basamo kaluarga, maupun jo kawan-kawan dakek batuka carito"
25560,"Our family's favorite bakso. It's so flavourful and delicious. Coupled with iced orange juice and white crisps,. Super yummy stuff! Price is really affordable.The location is kinda in an alleyway but it's easy to spot because a lot of people know about the place.",Bakso favorit kami sakaluarga. Rasonyo gurih dan super lamak. Dikawani jo es jeruk dan karupuak putiah. Super yummy lah. Hargo sangaik tajangkau. Lokasi masuak gang ketek tapi mudah ditamuan dek banyak urang yang tau di lokasinyo.
25561,"Eating in a resto is no fun, you can't ask for a little opor ayam broth like in a warteg","Indak lamak makan di restoran, indak bisa mintak kuah opor ayam setek co di warteg."
25562,The increasing percentage of ride sharing customers forces Toyota to boldly spend up to $1 billion to Grab in order to save its automotive business,Maningkeknyo presentase paminat ride sharing membuaek toyota nekad maabihan dana sampai $1 miliar ka grab untuak manyalamaikan bisnis otomotifnyo.
25563,"The wonderful scenery of Bandung can be witnessed from Sierra Cafe Lounge. There are two options for locations, indoors and outdoors. A romantic site fit for couples and also to hang out with friends while we unwind, since the air is also cool and fresh. The food served is also delectable with varying choices. There's Indonesian culinary, Asian, and even European/Western dishes.","Pamandangan kota banduang nan indah dapek dicaliak dari sierra kafe lounge. Ado duo piliahan tampek, bisa dalam ruangan maupun di lua. Tampek nan romantis cocok untuak bapole dan cocok juo untuak kumpua samo kawan-kawan sambia malapeh panek, dek udaranyo sajuak dan manyagaran. Makanan yang disadioan lezat lo dan banyak piliahan. Ado makasan indonesia, asia, bahkan eropa."
25564,That house has a tall black fence,Rumah tu punyo paga gadang warna itam.
25565,"A unique restaurant, where you use sheets of banana leaves instead of plates. The food is pretty good","Restoran unik, di ma indak disadioan piriang, untuak makan manggunoan aleh daun pisang. Makanan cukuik lamak."
25566,My dad is an employee in net.TV,Ayak awak seorang pegawai net tv
25567,Indomie is often found in the nearest roadside stalls.,Indomie banyak disobokan di kadai-kadai tadakek.
25568,It's so hard to understand people who think they're always right,Sulik bana mangarati urang nan maraso bana se taruih
25569,"I was asked to find chocolate by Gordon Ramsay in a dream, but it got mixed with an Indomie broth. ",Mimpi disuruah mancari coklat samo gordon ramsay eh malah tacampua jo kuah indomie
25570,"Yeah sure, Mi Sedap has more portion, but when it comes to taste, the others are just far better in comparison.","Iyo sih mi sedap isinyo labiah banyak, tapi soal raso kalah jauah samo yang lain"
25571,"Wow the satay is amazing. Right spices, right seasonings, and fresh meat, all combined to make a damn good satay. The servers are also friendly.","Wah lamak bana, sate yang lamak bumbu yang pas, raso yang pas dan dagiang yang segar, sahinggo mahasilan sate yang sabana bana mantap. Palayanan yang ramah."
25572,"When I came here, it wasn't strawberry season so they were tiny and bad. So I just took whatever's given. __sad__.",Waktu datang ka siko sadang ndak musim stroberi jadi bi ketek-ketek dan ndak rancak. Jadi cuma ambiak saadonyo se. __sad__.
25573,"The inauguration of the airport train by the President of Indonesia is done symbolically by pushing a siren button that sounds the bell, accompanied by Minister of Transportation, Minister Of State-Owned Enterprises, Governor of Banten, Director General of Railway from the Ministry of Transportation, Director of AP2, Director of PT KAN, and the Director of Railink","Paresmian pengoperasian kareta api bandara oleh presiden ri jo simbolis, panekanan tombol sirine nan manyuarokan genta, didampiangan jo menteri perhubungan, menteri bumn, gubernur banten, dirjen pakaretaapian kemhub, dirut ap2, dirut pt kan, dan dirut railink"
25574,Most of the food in this restaurant aren't good,Masakan restoran ko rato-rato ndak lamak.
25575,"Perfect for a romantic dinner with your partner in sharing a moment together, the food is also delicious and classy","Cocok untuak makan malam romantis jo pasangan katiko marayoan momen baduo, makanannyo lamak dan bakelas."
25576,"The Batagor's good, the noodle's great. Lots of food to choose from in just one place, especially since the shop's been renovated for the better. There's a musala. Lots of variety in the souvenir area, too.","Batagornyo lamak, mi nyo lamak. Ado aneka makanan nan bisa dicubo di ciek tampek, apolai kini tokonyo alah direnovasi jadi rancak. Ado musala. Area oleh-oleh banyak piliahan."
25577,"Just used it for a few days and it's already hanging, the power bank can't do a thing. Have to be taken into service","Baru pakai bara hari langsuang hang, power bank indak bisa di pakai apo-apo. Harus baok ka tampek servis."
25578,"A restaurant with amazing view, if you're here at night, try to find an outdoor spot and you'll see that every single table has shining lights on them. The food we ordered were cream soup and hot chocolate drink, very delicious and perfect during with the cold weather.","Restoran nan punyo pamandangan nan ancak, kok ka siko pado malam hari carilah tampek duduak di lua ruangan, mako kalian ka mancaliak disatiok meja lampu nan iduik, makanan nan kami pasan tu sup krim dan coklat hangek sangaiklah lamak dan lezat pas jo cuacanyo nan dingin"
25579,"Location's very romantic and snug. The atmosphere is very cosy and the service is great. The food is very appetising with a reasonable price. Would love to come back and enjoy its afternoon mood. Overall it's lovely, very wonderful! ",Tampeknyo sangaik romantis dan nyaman. Jo suasana yang sabana nyaman dan palayanan yang ancak. Makanan sabana lamak jo harago yang reasonable. Sabana nio baliak ka siko menikmati suasana sorenyo. Sacaro kasaluruahan elok sabana rancak!
25580,Food court wth a lot of tenants and a lot of options. Fitting for young people who wanna hangout and eat lots of food and drinks tailored for each of their tastes. The parking lot is also huge. ,"Makanan court jo banyak panyewa, banyak pilihan. Cocok untuak anak mudo yang nio nongkrong bakalompok sambia makan - minum sasuai salero masiang-masiang. Parkir sangaik lueh."
25581,"Thank you for the appreciation, brother. We hope he'll be able to meet our representative for the victims of Freeport's work termination soon.","Tarimo kasih bang atas apresiasinyo. Samoga beliau segera manemui wakil kami, korban phk sapihak freeport."
25582,I've come here more or less over 5 times already. The dim sum tastes amazing while also being really affordable. The place is fun and comfortable. The waiters are friendly even though there're only two of us and we don't order much. Highly recommended if you wanna eat dim seum or shabu in Balikpapan,"Hampia labiah 5 kali awak ka siko. Dim sumnyo yahud dan haragonyo tajangkau bana. Tampeknyo asyik jo nyaman bana. Pelayanan ramah walaupun awak cuma baduo tu makan ndak lo banyak macamnyo. Pokoknyo rekomendasi bana, bilo mancari dim sum atau shabu di balikpapan."
25583,"The place is fun, relaxing, and easy to spot, since it is right beside a Lotte Mart supermarket.","Tampeknyo manyanangan, santai, jo sangaik mudah ditamui, dek basabalahan jo swalayan lotte mart"
25584,KIPP received many reports of foul play in the 2018 Regional Elections,KIPP manarimo banyak laporan takait adonyo palanggaran pas pilkada 2018.
25585,"I've been here several times, the food is pretty delicious, the gazebos also makes the atmosphere cozy, especially with the sound of a small river, giving it a natural vibe. Recommended to come here at night because it's more beautiful.","Alah beberapa kali ka siko, makan lumayan lamak, saung-saungnyo mambuek suasano makan dan basantai jadi nikmat lo, ditambah lo suaro sungai ketek manambah suasano jadi batambah alami. Dianjuaan tibo ka siko malam hari karano labiah rancak."
25586,"Food here is amazing. Perfect for office meetings or dining with big family, affordable price too",Manakan di siko sangaik lamak. Cocok untuak patamuan kantua atau basamo kaluarga gadang harago tajangkau
25587,DHL opens job positions for Customer Service,DHL sadang mambuka lowongan karajo untuak customer service
25588,I tried the one near the Mayor's office. I ordered the super complete Bakso Malang. It was great. Really filling. The price was also reasonable.,Awak cubo nan di dakek kantua walikota. Awak pasan bakso malang super komplet. Rasonyo lamak. Kanyang. Harago juo masuak diaka.
25589,"Big outdoor resto, serving a huge variety of food from traditional all the way to the modern cuisine. The price varies just as much as the menu. The attractive decor layout makes the place really comfortable","Tampek makan di lua nan lueh manyajian sagalo makanan dari tradisional hinggo nan modern, dari harago nan murah meriah hinggo nan maha. Panataan dekorasi nan apik ka mambuek betah."
25590,"The must-try of this resto is the strawberry juice without milk or sugar. Trust me, it's amazing. Just 1 glass isn't nearly enough",Yang wajib bana dicubo di resto iko ado jus stroberi tanpa susu atau gulo. Asli lamak bana. Kayaknyo 1 galeh se kuranglah.
25591,"Western style restaurant with street vendor price, with beautiful natural scenery and romantic atmosphere, provided that it's not raining because it's in open space. My family's favorite restaurant","Resto makanan barat jo harago kaki limo, ditambah pamandangan alam nan indah, suasana romanatis, asal jan hujan, karano di teras dibiaan tabukak. Resto favorit kaluarga wak."
25592,"The fried chicken is amazing here. Perfect after a long trip. I came here after returning out of town, so I was absolutely starving. My stomach was filled right back up. The food was good and servers were great. Not to mention, the cashiers were beautiful","Ayam gorengnyo lamak di siko. Cocok untuak yang siap pajalanan jauah. Wak ka siko pulang dari lua kota, jadi makannyo pas litak gitu lah. Buek paruik kanyang, makanannyo lamak tu palayanannyo mantap. Kasirnyo rancak rancak"
25593,"My package, too, to this moment has yet to arrive, the status has been stuck in the delivery of the Jakarta courier since 5 days ago, JnE is horrible now.","Paket den sampai kini ndak sampai sampai lah 5 hari statusnyo jo pengiriman courier jakarta, parah kini jne"
25594,"You're selling Taliwang roasted chicken but the one I got was like rubber and not good at all, it was tasteless too, the sambal was just whatever. Overall, very disappointed and I won't be coming back for a second time.","Jua ayam baka taliwang tapi ayam nan disajian bantuak karet ndak mamuehan, dan rasonyo hamba, sambanyo juo alakadarnyo. Dari kesadonyo sangaik mangacewaan dan awak ndak akan ka duo kalinyo ka sinan liak"
25595,Some people like to litter on the side of Sukajadi Street at night. People like that should be obliterated.,Jalan. Sukajadi kalau malam suko ado warga yang manyampak an sarok di tapi jalan! urang-urang yang mode tu harus dimusnahan
25596,"My favorite in this resto is the 3-flavor-porridge. 1 huge bowl is enough for me and my husband. There's also a lot more than just porridges on the menu. The price fits the taste. And of course, you can't have porridge without a warm cup of tea. Hmmmm, tasty!",Paliang favorit di resto ko adolah bubua 3 raso. 1 mangkuak gadang bisa untuak baduo samo laki.  Tu banyak menunyo untuak tambahan makan jo bubua. Harago dan raso sasuai. Dan yang pasti kawan makan bubua adolah teh angek hmmm. Lamak!
25597,Indosat is why I am angry every day.,Indosat adalah panyebab awak berang tiok ari
25598,"This restaurant is perfect for dinner with your partner or family, with decent food and wonderful view. The mood's also great thanks to the classic decor adorning the corner all the way to the entrance.",Restoran iko marupokan tampek nan cocok untuak makan malam basamo pasangan dan kaluarga dengan makanan nan cukuik lamak dan pamandangan nan rancak. Suasanonyo pun elok jo hiasan klasik dari suduik sampai pintu masuaknyo.
25599,"The resto's concept is nothing special, but why do the drinks cost that much? I know it's a tourist trap, but tone it down a little, hehe. Gotta think twice over and over again before buying.","Konsep restorannyo biaso se, tapi harago minumannyo maha bana. Dimurahanlah stek walaupun di tampek wisata hehe. Jadi mikia bakali-kali untuak mambali."
25600,"The milk is fresh with amazing vegetables and delicious soup flavour, complete with super nice service.",Susunyo segar jo sayuran nan mantap dan raso kuah nan lamak dan pelayanan nan sangaik super ramah.
25601,"I regret ever telling ye anything, Farrel.","Manyasa den maagiah tau ang, Farrel"
25602,"So irritating, lousy parking, just blocking the street even more. And when their car gets scratched, they'll go around swearing and blaming other people.","Kesal lah, mano parkir indak batua, buek jalanan sampik se lai, giliran otonyo gores maupek-upek manuduah sumbarang urang"
25603,"This resto is recommended for you if you wanna have a meal while admiring the sunset. Because it is located in the highlands, you can enjoy the beauty of the mountainsides and the city atmosphere. The menu itself comes in a variety of flavours, from local dishes, Indonesian cuisine, to international food.","Resto ko awak rekomendasian untuak sanak singgahi jiko sanak nio basantap sambia manikmati sunset. Karano lataknyo nan barado di dataran tinggi, sanak dapek manikmati kaindahan alam pagunuangan dan suasano kota. Untuak makanannyo sendiri ado babarapo cito raso, dari masakan daerah, indonesia hinggo internasional."
